code,element
DURANG,CO
DURANG,DirV
DURANG,Humedad
DURANG,NO
DURANG,NO2
DURANG,O3
DURANG,P
DURANG,PM10
DURANG,PM2.5
DURANG,Rad
DURANG,SO2
DURANG,T
DURANG,VelV
URKIOL,O3
LEMONA,PM10
AMOREB,CO
AMOREB,NO
AMOREB,NO2
AMOREB,O3
AMOREB,PM10
AMOREB,PM2.5
AMOREB,SO2
ZELAIE,CO
ZELAIE,NO
ZELAIE,NO2
ZELAIE,O3
ZELAIE,PM10
ZELAIE,PM2.5
ZELAIE,SO2
BOROA,DirV
BOROA,Humedad
BOROA,P
BOROA,T
BOROA,VelV
BOROA,Rad
LEMONA,PM2.5
MONDR1,SO2
LARRAB,VelV
LARRAB,DirV
LARRAB,NO
LARRAB,NO2
LARRAB,O3
MONTOR,DirV
MONTOR,NO
MONTOR,NO2
MONTOR,O3
MONTOR,SO2
MONTOR,VelV
ZIERBE,CO
ZIERBE,DirV
ZIERBE,Humedad
ZIERBE,NO2
ZIERBE,O3
ZIERBE,P
ZIERBE,PM10
ZIERBE,SO2
ZIERBE,T
ZIERBE,VelV
ZIERBE,NO
ALGORT,PM2.5
PAGOET,CO
ALGORT,CO
ALGORT,DirV
ALGORT,Humedad
ALGORT,NO
ALGORT,NO2
ALGORT,O3
ALGORT,P
ALGORT,PM10
ALGORT,SO2
ALGORT,T
ALGORT,VelV
PAGOET,VelV
PAGOET,DirV
PAGOET,Humedad
PAGOET,NO
PAGOET,NO2
PAGOET,O3
PAGOET,P
PAGOET,PM10
PAGOET,Rad
PAGOET,SO2
PAGOET,T
ESMUN,DirV
ESMUN,Humedad
ESMUN,NO
ESMUN,NO2
ESMUN,O3
ESMUN,P
ESMUN,PM10
ESMUN,Rad
ESMUN,SO2
ESMUN,T
ESMUN,VelV
ESMUN,RadUV
MUSKIZ,CO
MUSKIZ,DirV
MUSKIZ,Humedad
MUSKIZ,NO
MUSKIZ,NO2
MUSKIZ,O3
MUSKIZ,P
MUSKIZ,PM2.5
MUSKIZ,Rad
MUSKIZ,SO2
MUSKIZ,T
MUSKIZ,VelV
SERANT,NO
SERANT,DirV
SERANT,Humedad
SERANT,NO2
SERANT,O3
SERANT,P
SERANT,Rad
SERANT,T
SERANT,VelV
AVTOLO,CO
AVTOLO,DirV
AVTOLO,Humedad
AVTOLO,NO
AVTOLO,NO2
AVTOLO,O3
AVTOLO,P
AVTOLO,Rad
AVTOLO,SO2
AVTOLO,T
AVTOLO,VelV
AVTOLO,PM2.5
AVTOLO,PM10
JAIZKI,DirV
JAIZKI,Humedad
JAIZKI,P
JAIZKI,T
JAIZKI,VelV
JAIZKI,NO
JAIZKI,NO2
JAIZKI,O3
ALGORT,RadUV
ELGOIB,CO
ELGOIB,NO
ELGOIB,NO2
ELGOIB,O3
ELGOIB,PM10
AGURAI,NO
MARZO3,O_C8H10
AGURAI,O3
AGURAI,PM10
AGURAI,SO2
HERRAN,NO
HERRAN,NO2
MARZO3,NO
MARZO3,NO2
MARZO3,O3
MARZO3,PM10
MARZO3,SO2
GASTEI,NO
GASTEI,NO2
GASTEI,O3
GASTEI,PM10
GASTEI,SO2
MARZO3,PM2.5
MARZO3,CO
FARMAC,DirV
FARMAC,Humedad
FARMAC,NO
FARMAC,NO2
FARMAC,O3
FARMAC,P
FARMAC,PM10
FARMAC,Rad
FARMAC,T
FARMAC,VelV
FARMAC,RadUV
HERRAN,CO
BETO�O,PM10
BETO�O,SO2
HERRAN,PM2.5
FARMAC,SO2
BETO�O,NO
BETO�O,NO2
HERRAN,SO2
GASTEI,CO
MARZO3,C6H6
MARZO3,C8H10
MARZO3,C7H8
AGURAI,NO2
VALDER,Humedad
VALDER,PM10
LNTRON,PM2.5
LNTRON,SH2
LNTRON,NH3
LNTRON,VelV
LNTRON,T
LNTRON,SO2
LNTRON,Rad
LNTRON,PM10
LNTRON,P
LNTRON,NO2
LNTRON,NO
VALDER,Rad
VALDER,SO2
VALDER,T
VALDER,NO
VALDER,NO2
VALDER,O3
VALDER,P
VALDER,DirV
VALDER,CO
VALDER,VelV
IZKI,DirV
IZKI,Humedad
IZKI,NO
IZKI,NO2
IZKI,O3
IZKI,PM10
IZKI,P
IZKI,Rad
IZKI,SO2
IZKI,T
IZKI,VelV
LNTRON,DirV
LNTRON,Humedad
ELCIEG,T
ELCIEG,Humedad
ELCIEG,DirV
ELCIEG,SO2
ELCIEG,O3
ELCIEG,PM10
ELCIEG,NO
ELCIEG,CO
ELCIEG,Rad
ELCIEG,P
ELCIEG,VelV
ELCIEG,NO2
AZPEIT,DirV
ZUMARR,VelV
AZPEIT,NO
AZPEIT,NO2
AZPEIT,O3
AZPEIT,P
AZPEIT,PM10
AZPEIT,Rad
AZPEIT,SO2
AZPEIT,T
AZPEIT,VelV
AZPEIT,PM2.5
ZUMARR,NO
ZUMARR,NO2
ZUMARR,O3
ZUMARR,SO2
ZUMARR,PM10
ZUMARR,CO
AZPEIT,CO
ZUMARR,DirV
ZUMARR,Humedad
ZUMARR,P
ZUMARR,Rad
ZUMARR,T
AZPEIT,Humedad
